# offset relative_offset cap_id vs_cap_id value
0x0000    0 0x00 0x00 0x57800000
0x0001    1 0x00 0x00 0x00080239
0x0002    2 0x00 0x00 0x01100101
0x0003    3 0x00 0x00 0x81200000
0x0004    4 0x00 0x00 0x40800000
0x0005    5 0x00 0x00 0x00004008
0x0006    6 0x00 0x00 0x00000000
0x0007    7 0x00 0x00 0x00000000
0x0008    8 0x00 0x00 0x00000000
0x0039    0 0x04 0x00 0x210c043b
0x003a    1 0x04 0x00 0x00000000
0x003b    0 0x05 0x01 0x09010500
0x003c    1 0x05 0x01 0x1e232000
0x003d    2 0x05 0x01 0x00000000
0x003e    3 0x05 0x01 0xe0080100
0x003f    4 0x05 0x01 0x00418100
0x0040    5 0x05 0x01 0x6098a670
0x0041    6 0x05 0x01 0x000088f4
0x0042    7 0x05 0x01 0x00000000
0x0043    8 0x05 0x01 0x00001980
