# offset relative_offset cap_id vs_cap_id value
0x0000    0 0x00 0x00 0x57800000
0x006f   49 0x05 0x00 0x00000000
0x0070   50 0x05 0x00 0x00000000
0x0071   51 0x05 0x00 0x00000000
0x0072   52 0x05 0x00 0x00000000
0x0073   53 0x05 0x00 0x00000000
0x0074   54 0x05 0x00 0x00000000
0x0075   55 0x05 0x00 0x00000000
0x0076   56 0x05 0x00 0x00000000
0x0077   57 0x05 0x00 0x00000000
0x0078   58 0x05 0x00 0x00000000
0x0079   59 0x05 0x00 0x38000800
0x007a   60 0x05 0x00 0x00000000
0x007b   61 0x05 0x00 0x00000000
0x007c   62 0x05 0x00 0x00000000
0x007d   63 0x05 0x00 0x00000000
0x007e   64 0x05 0x00 0x00000000
0x007f   65 0x05 0x00 0x00000000
0x0080   66 0x05 0x00 0x00000201
0x0081   67 0x05 0x00 0x000b8206
0x0082   68 0x05 0x00 0x00000000
0x0083   69 0x05 0x00 0x00102d03
0x0084   70 0x05 0x00 0x33b89004
0x0085   71 0x05 0x00 0x001c0004
0x0086   72 0x05 0x00 0x003b0000
0x0087   73 0x05 0x00 0x08000000
0x0088   74 0x05 0x00 0x00000000
0x0089   75 0x05 0x00 0x08000000
0x008a   76 0x05 0x00 0x00000000
0x008b   77 0x05 0x00 0x18000000
0x008c   78 0x05 0x00 0x00000000
0x008d   79 0x05 0x00 0x00000000
0x008e   80 0x05 0x00 0x00000000
0x008f   81 0x05 0x00 0x00000600
0x0090   82 0x05 0x00 0x00000000
0x0091   83 0x05 0x00 0x00000099
0x0092   84 0x05 0x00 0x00000000
0x0093   85 0x05 0x00 0x00000000
0x0094   86 0x05 0x00 0x00000000
0x0095   87 0x05 0x00 0x00000000
0x0096   88 0x05 0x00 0x00000000
0x0097   89 0x05 0x00 0x00000000
0x0098   90 0x05 0x00 0x00000000
0x0099   91 0x05 0x00 0x00000000
0x009a   92 0x05 0x00 0x00000000
0x009b   93 0x05 0x00 0x00000000
0x009c   94 0x05 0x00 0x00000000
0x009d   95 0x05 0x00 0x00000300
0x009e   96 0x05 0x00 0x00000011
0x009f   97 0x05 0x00 0x00000000
0x00a0   98 0x05 0x00 0x00000000
0x00a1   99 0x05 0x00 0x00000000
0x00a2  100 0x05 0x00 0x00000000
0x00a3  101 0x05 0x00 0x00000000
0x00a4  102 0x05 0x00 0xfb337333
0x00a5  103 0x05 0x00 0x000000aa
0x00a6  104 0x05 0x00 0x00000000
0x00a7  105 0x05 0x00 0x00000000
0x00a8  106 0x05 0x00 0x00000000
0x00a9  107 0x05 0x00 0x00000000
0x00aa  108 0x05 0x00 0x00000000
0x00ab  109 0x05 0x00 0x00000000
0x00ac  110 0x05 0x00 0x00000000
0x00ad  111 0x05 0x00 0x00000000
0x00ae  112 0x05 0x00 0x00000000
0x00af  113 0x05 0x00 0x00000000
0x00b0  114 0x05 0x00 0x00000000
0x00b1  115 0x05 0x00 0x00000000
0x00b2  116 0x05 0x00 0x010c8c64
0x00b3  117 0x05 0x00 0x00000004
0x00b4  118 0x05 0x00 0x00000015
0x00b5  119 0x05 0x00 0x00000000
0x00b6  120 0x05 0x00 0x00007c5f
0x00b7  121 0x05 0x00 0x0000000c
0x00b8  122 0x05 0x00 0x00000000
0x00b9  123 0x05 0x00 0x00000000
0x00ba  124 0x05 0x00 0x00000000
0x00bb  125 0x05 0x00 0x00000000
0x00bc  126 0x05 0x00 0x00000000
0x00bd  127 0x05 0x00 0x00000000
0x00be  128 0x05 0x00 0x00000000
0x00bf  129 0x05 0x00 0x00000000
