# offset relative_offset cap_id vs_cap_id value
0x0000    0 0x00 0x00 0x57800000
0x0001    1 0x00 0x00 0x0008040a
0x0002    2 0x00 0x00 0x01000001
0x0003    3 0x00 0x00 0x801000a0
0x0004    4 0x00 0x00 0x4a000000
0x0005    5 0x00 0x00 0x0000f81f
0x0006    6 0x00 0x00 0x00000000
0x0007    7 0x00 0x00 0x00000000
0x0008    8 0x00 0x00 0x00000000
0x000a    0 0x03 0x00 0x00000336
0x000b    1 0x03 0x00 0x00220000
0x000c    2 0x03 0x00 0x00190000
0x000d    3 0x03 0x00 0x00000000
0x000e    4 0x03 0x00 0x00a100a1
0x000f    5 0x03 0x00 0x000000a1
0x0010    6 0x03 0x00 0x00100000
0x0011    7 0x03 0x00 0x00000000
0x0012    8 0x03 0x00 0x00000000
0x0013    9 0x03 0x00 0x00000000
0x0036    0 0x01 0x00 0x1cfe01c0
0x0037    1 0x01 0x00 0x4824003e
0x0038    2 0x01 0x00 0x00000000
0x00c0    0 0x06 0x00 0x0000063e
0x00c1    1 0x06 0x00 0x03220008
0x00c2    2 0x06 0x00 0x50555355
0x00c3    3 0x06 0x00 0x00000000
0x00c4    4 0x06 0x00 0x00000000
0x00c5    5 0x06 0x00 0x00000000
0x00c6    6 0x06 0x00 0x00000000
0x00c7    7 0x06 0x00 0x00000000
0x00c8    8 0x06 0x00 0x00000000
0x00c9    9 0x06 0x00 0x00000000
0x00ca   10 0x06 0x00 0x00000000
0x00cb   11 0x06 0x00 0x00000000
0x00cc   12 0x06 0x00 0x00000000
0x00cd   13 0x06 0x00 0x00000000
0x00ce   14 0x06 0x00 0x00000000
0x00cf   15 0x06 0x00 0x00000000
0x00d0   16 0x06 0x00 0x00000000
0x00d1   17 0x06 0x00 0x00000000
0x00d2   18 0x06 0x00 0x00f03510
0x00d3   19 0x06 0x00 0x0004000e
0x003e    0 0x05 0x00 0x82000500
0x003f    1 0x05 0x00 0x00000000
0x0040    2 0x05 0x00 0x04051000
0x0041    3 0x05 0x00 0x00003221
0x0042    4 0x05 0x00 0x01000000
0x0043    5 0x05 0x00 0x07100f02
0x0044    6 0x05 0x00 0x00000000
0x0045    7 0x05 0x00 0xc3800125
0x0046    8 0x05 0x00 0x83800105
0x0047    9 0x05 0x00 0x02000201
0x0048   10 0x05 0x00 0x090a0403
0x0049   11 0x05 0x00 0x00000000
0x004a   12 0x05 0x00 0x000052c9
0x004b   13 0x05 0x00 0x0000007f
0x004c   14 0x05 0x00 0x00000000
0x004d   15 0x05 0x00 0x00000000
0x004e   16 0x05 0x00 0x00000000
0x004f   17 0x05 0x00 0x00000000
0x0050   18 0x05 0x00 0x00000000
0x0051   19 0x05 0x00 0x00000000
0x0052   20 0x05 0x00 0x00000000
0x0053   21 0x05 0x00 0x00000000
0x0054   22 0x05 0x00 0x00000000
0x0055   23 0x05 0x00 0x00000000
0x0056   24 0x05 0x00 0x00000100
0x0057   25 0x05 0x00 0x21002100
0x0058   26 0x05 0x00 0x00000000
0x0059   27 0x05 0x00 0x00000000
0x005a   28 0x05 0x00 0x00000000
0x005b   29 0x05 0x00 0x00000000
0x005c   30 0x05 0x00 0x00000000
0x005d   31 0x05 0x00 0x00000000
0x005e   32 0x05 0x00 0x00000000
0x005f   33 0x05 0x00 0x00000000
0x0060   34 0x05 0x00 0x00000000
0x0061   35 0x05 0x00 0x00000000
0x0062   36 0x05 0x00 0x00000000
0x0063   37 0x05 0x00 0x00000000
0x0064   38 0x05 0x00 0x00000000
0x0065   39 0x05 0x00 0x00000000
0x0066   40 0x05 0x00 0x00000000
0x0067   41 0x05 0x00 0x00000000
0x0068   42 0x05 0x00 0x00000000
0x0069   43 0x05 0x00 0x00000000
0x006a   44 0x05 0x00 0x00000000
0x006b   45 0x05 0x00 0x00000000
0x006c   46 0x05 0x00 0x00000000
0x006d   47 0x05 0x00 0x00000000
0x006e   48 0x05 0x00 0x00000000
